Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
107	21469	27	44	17	30	46.6	22.3	40.8				>>>> 76% Left Cerebral Cortex, 80% GM Visual Cortex V1 BA17 L, 32% GM Visual Cortex V2 BA18, 22% WM Optic radiation L
106	2558	15.7	34	30	61	31.2	34.9	65.2
105	957	12.1	33	61	63	30.2	59	64
104	936	9.88	60	58	61	60.6	59.6	63.3
103	809	4.3	59	100	39	45.2	98.8	33.5
102	434	8.14	65	63	50	63.4	67.4	49.5
101	373	8.74	66	83	51	66.8	81.6	52.1
100	342	4.03	43	44	53	43.8	43.1	53.4
99	296	6.75	46	64	42	45.2	63.6	42.1
98	289	10.4	24	61	54	24.7	60.7	53.5
97	280	7.21	66	40	24	66.6	40.3	23.6
96	270	5.36	65	70	28	66.1	67.5	30.4
95	211	7.91	53	74	21	55.5	75.6	20.7
94	197	8.67	22	71	50	20.8	71.7	49.6
93	188	3.72	31	61	20	29.9	58.6	21.6
92	187	6.55	10	45	50	10.2	44.4	49.4
91	175	3.4	76	67	20	74.7	64.9	19.8
90	174	4.31	20	88	33	21.3	86.4	35.9
89	159	3.92	63	71	65	65.1	70.8	62.9
88	149	4.41	48	77	39	47.3	76	39.9
87	146	4.49	44	96	22	44.6	95.5	23.1
86	145	5.06	67	50	21	68.7	50.1	21.1
85	131	2.97	28	80	21	27.2	76.7	22.1
84	121	4.98	80	40	49	78.2	39.7	49.4
83	108	4.26	58	76	37	58.8	75.9	37
82	102	3.83	39	93	53	38.8	92.7	53.8
81	101	3.74	48	76	26	44.1	75.2	24.8
80	96	3.86	25	80	55	25.6	79.7	54.3
79	93	7.87	58	35	33	57.4	35.4	32.7
78	77	4.22	77	50	63	75.6	50.1	63.8
77	76	6.96	48	66	63	48.5	66.8	63
76	72	3.49	24	71	66	25	71.1	65.9
75	70	4.7	61	54	24	60.5	53.6	24.3
74	60	3.05	67	91	35	66.7	90.7	38.2
73	56	3.54	33	87	21	33.3	85.6	21.9
72	53	3.15	49	52	24	48	53	22.8
71	50	3.77	19	61	33	19.8	60.7	33.1
70	47	7.5	46	65	70	46	65.1	69.7
69	47	3.31	28	75	37	28.3	75	36.5
68	40	2.82	45	67	24	46.3	66.9	25.2
67	38	4.56	43	47	36	43.3	47.2	35.6
66	35	3.7	17	54	50	15.5	54.3	49.9
65	35	3.6	13	59	45	12.4	59.5	45.6
64	34	3.27	49	86	62	48.8	85.6	62
63	30	2.99	30	71	52	30.4	72.1	51.6
62	29	3.07	68	79	18	68.9	77.6	18.3
61	29	3.29	46	36	21	45.8	36.4	22.1
60	27	3.28	77	47	31	77.6	46.6	31
59	27	3.19	27	30	55	27.2	30.1	55.4
58	26	3.73	17	50	55	16.2	50.3	54.9
57	25	7.29	50	21	41	50	21.2	40.8
56	24	3.3	32	68	17	31.6	67.9	17
55	23	2.65	63	51	50	62.4	50.9	50.5
54	23	3.43	53	69	69	53	68.9	68.5
53	22	4.55	13	42	42	13.2	42	41.7
52	22	4.99	40	67	64	40	66.9	63.8
51	21	2.67	39	78	65	38.4	78.2	66
50	20	3.39	48	93	57	48.1	92.3	56.8
49	20	3.28	24	65	15	23.9	64.7	14.8
48	16	2.74	58	47	18	59.1	47.9	19.2
47	16	2.78	43	88	62	42.6	87.7	61.5
46	15	3.09	60	73	14	59.2	72.7	14.5
45	14	2.79	73	60	31	72.6	60.3	31.2
44	13	2.49	39	56	33	38.2	55.2	31.3
43	12	2.71	53	50	67	53.2	50.4	67.1
42	11	2.64	49	52	41	49.1	52	40.8
41	11	2.66	37	49	32	37.2	49.2	31.5
40	10	2.7	69	65	14	69.5	64.8	14.6
39	10	2.77	21	45	39	21.3	45.7	38.4
38	7	2.57	48	97	51	47.6	96.6	51.6
37	7	2.5	77	58	49	76	58.4	48.7
36	7	2.76	69	83	44	69.7	82.4	44.3
35	7	2.62	18	49	37	17.7	49.9	36.7
34	6	2.63	26	50	42	25.7	49.7	42.5
33	5	2.54	65	84	22	65.2	83.6	22.4
32	5	2.75	35	12	26	34.8	12.2	26
31	5	2.53	56	79	42	56.2	79.4	42
30	5	2.64	24	77	29	23.8	76.6	29
29	4	2.37	55	81	64	55.3	81.7	63.5
28	4	2.52	11	68	34	11.2	68.2	34.5
27	4	2.44	75	53	33	75.5	52.5	33
26	3	2.62	35	97	46	35	97	46
25	3	2.54	67	93	26	66.7	93	26.3
24	3	2.56	43	102	40	43.3	102	39.3
23	3	2.38	16	61	40	16	60.3	39.7
22	2	2.32	37	43	20	37	43	20.5
21	2	2.69	22	36	59	22	36.5	59
20	2	2.53	47	101	25	47	101	24.5
19	2	2.48	26	67	25	26	66.5	25
18	2	2.39	57	68	25	57	67.5	25
17	2	2.69	48	11	50	48	11	49.5
16	2	2.64	43	63	53	43.5	63	53
15	2	2.41	69	82	35	68.5	82	35
14	2	2.42	42	68	27	41.5	68.5	27
13	1	2.55	64	48	74	64	48	74
12	1	2.53	16	68	17	16	68	17
11	1	2.31	64	25	66	64	25	66
10	1	2.35	41	54	42	41	54	42
9	1	2.33	55	58	18	55	58	18
8	1	2.8	50	68	20	50	68	20
7	1	2.54	67	24	61	67	24	61
6	1	2.38	13	52	23	13	52	23
5	1	2.33	78	69	56	78	69	56
4	1	2.36	78	53	26	78	53	26
3	1	2.34	49	9	47	49	9	47
2	1	2.58	42	11	48	42	11	48
1	1	2.99	46	11	48	46	11	48
