Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
114	21492	28.8	43	18	32	46.7	22.2	40.6
113	2468	15.9	34	30	61	31.3	34.9	65.2
112	938	12	33	61	63	30.2	58.9	64
111	905	10.1	60	58	61	60.8	59.5	63.4
110	662	4	59	100	39	44.7	98.7	33.7
109	376	8.59	66	83	51	66.7	81.8	52.1
108	353	4.03	43	43	53	44	42.8	53.5
107	297	6.64	46	64	42	45.2	63.5	42.2
106	292	7.71	66	40	24	66.7	40.3	23.5
105	292	10.8	24	61	54	24.7	60.7	53.5
104	278	8.04	65	63	50	63.6	64.1	50.7
103	269	5.37	65	70	28	66.1	67.5	30.4
102	229	7.85	53	74	21	55.7	75.7	20.9
101	212	3.99	31	61	20	29.8	58.8	21.8
100	193	8.54	22	71	50	20.7	71.7	49.5
99	190	6.39	10	45	50	10.3	44.4	49.4
98	168	3.21	76	60	19	74.3	64.2	19.3
97	160	4.16	63	71	65	64.5	70.8	63.3
96	160	4.4	20	88	33	21.2	86.6	35.7
95	150	5.22	64	75	46	63.3	73.9	46.9
94	140	4.29	48	77	39	47.1	76	39.9
93	132	5.11	67	50	21	68.5	50	21.1
92	130	3	28	74	18	27	76.3	21.5
91	110	3.74	48	76	26	44.1	75.3	25
90	107	4.32	44	96	22	45.1	95	22.8
89	107	3.88	39	93	53	38.8	92.6	53.7
88	101	4.11	58	76	37	58.9	75.9	36.9
87	95	4.78	80	40	49	78.9	39.5	48.7
86	90	8	58	35	33	57.3	35.4	32.7
85	83	3.67	25	80	55	25.8	79.5	54.2
84	78	4.26	77	50	63	75.7	50.3	63.7
83	72	4.71	61	54	24	60.6	53.8	24.4
82	71	6.85	48	66	63	48.5	66.8	63
81	62	3.36	49	86	62	46.8	86	61.9
80	60	3.18	49	51	24	48.2	53.1	22.7
79	60	3.7	33	87	21	33.3	85.7	21.9
78	54	3.57	19	61	33	19.8	60.6	33.3
77	51	3.2	24	71	65	25.2	71	65.9
76	48	7.55	46	65	70	46	65.2	69.7
75	45	2.83	67	91	35	66.4	90.4	38.5
74	44	2.82	45	67	24	45.7	67	25.5
73	41	3.96	17	54	50	15.5	54.4	50
72	38	4.66	43	47	36	43.3	47.2	35.7
71	38	3.15	28	75	37	28.3	75.1	36.4
70	37	2.85	38	79	67	38.1	78.1	66
69	35	3.68	13	59	45	12.4	59.5	45.6
68	28	3.42	77	47	31	77.5	46.8	30.9
67	28	3.26	46	36	21	45.9	36.3	22.1
66	27	3.36	27	30	56	27.2	30.1	55.4
65	26	3.36	32	68	17	31.5	67.9	16.9
64	26	3.48	48	93	57	47.9	92.4	56.6
63	25	3.6	16	50	55	16	50.3	54.9
62	25	7.46	50	21	41	49.9	21.2	40.8
61	24	3.42	53	69	69	52.9	68.9	68.5
60	24	3.4	24	65	15	23.9	64.8	14.8
59	23	4.61	13	42	42	13.2	42	41.8
58	22	2.75	30	71	52	30.6	72.1	51.7
57	21	4.8	40	67	64	39.9	67	63.6
56	20	2.98	68	79	18	69	78	18.1
55	18	2.63	39	56	33	38.4	55.4	31.4
54	18	2.8	77	57	49	76	58.3	48.6
53	18	2.72	58	47	18	59.2	48	19.2
52	16	2.94	74	41	54	73.1	41	53.5
51	16	3.2	22	47	72	23.4	46.2	72.5
50	15	2.48	63	51	51	62.5	51.2	50.5
49	13	2.65	49	52	41	48.7	52.1	41.1
48	13	2.72	53	50	67	53.2	50.5	67
47	12	2.95	60	73	14	59.2	72.5	14.3
46	12	2.94	69	37	61	69.2	37	60.8
45	11	2.81	48	97	51	47.6	96.4	51.5
44	9	2.7	73	60	31	72.7	60.3	31
43	9	2.66	65	84	22	64.9	83.9	22.3
42	9	2.76	42	36	63	41.7	35.7	63.3
41	7	2.68	35	97	46	35.1	97.4	45.9
40	7	2.85	35	12	26	34.7	12.2	26
39	6	2.96	22	36	59	22.3	36.5	59.6
38	6	2.38	55	81	64	54.8	82	62.8
37	6	2.58	22	46	38	22	45.5	38.3
36	6	2.6	25	50	43	25.7	49.7	42.5
35	5	2.5	37	43	21	37	42.6	19.8
34	5	2.49	45	78	65	45	77.4	65.4
33	5	2.57	18	50	37	17.6	50.2	37
32	5	2.58	56	80	42	56.2	79.4	42
31	5	2.45	41	54	42	40.8	53.6	42
30	4	2.53	75	53	33	75.5	52.5	33
29	4	2.48	68	82	35	68.5	82.5	35
28	4	2.64	24	77	29	23.5	76.5	29
27	4	2.65	43	102	40	43.5	102	39.5
26	4	2.52	76	42	26	76.5	42.5	26.5
25	3	2.49	69	83	44	69.7	82.7	44
24	3	2.49	57	68	25	57	67.3	24.7
23	3	2.46	16	60	39	16	60.3	39.7
22	2	2.39	78	53	26	77.5	53	26
21	2	2.34	40	90	26	40	90.5	26
20	2	2.51	43	63	53	43.5	63	53
19	2	2.63	26	67	25	26	66.5	25
18	2	2.45	40	93	29	40	92.5	29
17	2	2.44	67	93	26	66.5	93	26
16	2	2.82	67	24	61	67.5	24	61
15	2	2.36	43	101	26	43.5	101	26
14	2	2.45	55	58	18	54.5	58	18
13	2	2.72	48	11	50	48	11	49.5
12	1	2.48	47	103	36	47	103	36
11	1	2.43	11	68	34	11	68	34
10	1	2.45	64	48	74	64	48	74
9	1	2.34	37	49	32	37	49	32
8	1	2.92	50	68	20	50	68	20
7	1	2.37	49	9	47	49	9	47
6	1	2.57	42	11	48	42	11	48
5	1	3.05	46	11	48	46	11	48
4	1	2.35	72	50	53	72	50	53
3	1	2.3	20	72	28	20	72	28
2	1	2.35	27	15	27	27	15	27
1	1	2.3	52	65	28	52	65	28
